Timestamp,Feed Size (mm),Product Size (mm),Mill Power 1 (kW),Mill Inlet Temp (°C),Blending Efficiency (%),C5 Temp (°C),Heat Recovery Eff (%),Fuel Flow Rate (t/h),Primary Fuel Flow (t/h),Secondary Air Temp (°C),Kiln Drive Power (kW),Clinker Inlet Temp (°C),Cooling Air Flow (m³/min),Mill Power 2 (kW),Packing Rate (bags/min),Target_eff
2025-04-01 00:00:00,1002,22,1806,100,90,875,87.5,5,10,950,1000,1301,502,2245,12,77
2025-04-01 01:00:00,1001,22,1803,101,90.1,875,87.6,5,10,951,1005,1299,504,2244,12.2,76.5
2025-04-01 02:00:00,1004,22.1,1808,100,90.1,875,87.5,5,9.9,953,1011,1301,504,2246,12.2,76.3
2025-04-01 03:00:00,1010,22,1809,101,90,874,87.7,5,9.8,950,1010,1302,504,2250,12.2,76
2025-04-01 04:00:00,1009,22,1810,101,90.1,875,87.7,5,9.7,954,1014,1301,502,2253,12.2,75.8
2025-04-01 05:00:00,1008,22,1802,100,90.1,875,87.6,5,9.8,956,1018,1302,501,2251,12.1,76.3
2025-04-01 06:00:00,1015,22,1793,100,90,875,87.6,5,9.8,957,1019,1306,499,2249,12.1,76.1
2025-04-01 07:00:00,1018,22,1792,100,90,876,87.6,5,9.8,958,1026,1305,498,2257,12.2,75.7
2025-04-01 08:00:00,1016,22.1,1793,100,89.9,876,87.7,5,9.8,962,1031,1306,500,2259,12.2,75.6
2025-04-01 09:00:00,1018,22.1,1789,100,89.8,877,87.7,5,9.8,960,1028,1304,503,2256,12.1,75.6
2025-04-01 10:00:00,1016,22.2,1784,100,90,876,87.7,4.9,9.8,962,1029,1303,504,2259,12.2,75.2
2025-04-01 11:00:00,1014,22.1,1787,101,90.1,877,87.7,4.9,9.9,967,1033,1305,503,2262,12.1,75.2
2025-04-01 12:00:00,1015,22.1,1789,101,90.2,877,87.7,4.9,9.9,969,1040,1305,502,2255,12.1,75.1
2025-04-01 13:00:00,1008,22.1,1788,101,90.2,877,87.7,4.9,9.9,968,1043,1305,502,2258,12.1,75.2
2025-04-01 14:00:00,1001,22.2,1791,101,90.1,877,87.7,4.9,10,975,1044,1308,503,2250,12,75.4
2025-04-01 15:00:00,998,22.1,1787,101,90.2,876,87.8,4.9,10,976,1049,1306,502,2247,12,75.3
2025-04-01 16:00:00,994,22,1785,102,90.4,877,87.8,4.9,10,980,1048,1306,501,2242,12,75.1
2025-04-01 17:00:00,996,22.1,1792,101,90.3,877,87.8,4.9,10,979,1044,1307,502,2242,11.9,75.2
2025-04-01 18:00:00,992,21.9,1792,101,90.2,877,87.9,4.9,10,982,1047,1305,503,2239,11.8,74.9
2025-04-01 19:00:00,986,21.9,1793,101,90.4,877,87.9,4.9,9.9,980,1046,1306,501,2238,11.7,74.7
2025-04-01 20:00:00,992,22,1802,101,90.2,879,87.9,4.9,10,981,1056,1308,500,2229,11.5,74.5
2025-04-01 21:00:00,991,22,1796,101,90.1,879,87.9,4.9,10,980,1057,1308,502,2229,11.7,74.7
2025-04-01 22:00:00,992,22.1,1799,100,90.1,880,87.9,4.9,9.9,985,1060,1307,504,2223,11.7,74.5
2025-04-01 23:00:00,986,22.2,1806,100,89.9,880,87.8,4.9,9.9,985,1058,1306,504,2234,11.6,74.3
2025-04-02 00:00:00,984,22.1,1805,101,90,879,87.9,4.9,9.9,981,1063,1301,504,2232,11.5,74.1
2025-04-02 01:00:00,984,22.1,1808,100,90.1,879,87.9,4.9,9.9,982,1063,1303,505,2231,11.7,74.4
2025-04-02 02:00:00,979,22.1,1804,100,90.1,880,87.9,4.9,9.8,983,1062,1303,507,2235,11.7,74.2
2025-04-02 03:00:00,981,22,1802,99,90.2,879,87.8,4.8,9.8,983,1062,1303,505,2241,11.7,74
2025-04-02 04:00:00,979,22,1803,99,90.3,879,87.8,4.8,9.8,981,1057,1300,505,2235,11.8,74.1
2025-04-02 05:00:00,977,21.9,1806,99,90.3,879,87.9,4.8,9.8,984,1056,1302,503,2238,11.8,74
2025-04-02 06:00:00,975,21.8,1811,99,90.3,879,87.8,4.8,9.8,988,1058,1301,506,2243,11.8,73.8
2025-04-02 07:00:00,982,21.8,1817,99,90.5,879,87.8,4.8,9.8,983,1052,1302,503,2244,11.7,73.9
2025-04-02 08:00:00,982,21.8,1817,99,90.6,878,87.7,4.8,9.8,980,1056,1302,504,2245,11.7,73.9
2025-04-02 09:00:00,978,21.7,1822,98,90.6,879,87.6,4.8,9.8,980,1055,1299,503,2242,11.6,73.6
2025-04-02 10:00:00,981,21.7,1820,99,90.7,879,87.7,4.8,9.9,978,1056,1301,504,2241,11.7,73.9
2025-04-02 11:00:00,977,21.8,1824,99,90.8,879,87.7,4.8,9.9,980,1047,1304,505,2240,11.7,73.9
2025-04-02 12:00:00,977,21.8,1825,99,90.7,878,87.8,4.8,9.8,985,1048,1305,505,2238,11.8,73.8
2025-04-02 13:00:00,970,21.8,1826,98,90.7,878,87.8,4.8,9.8,984,1043,1306,509,2242,11.7,73.5
2025-04-02 14:00:00,964,21.8,1828,99,90.8,878,87.8,4.8,9.8,989,1042,1303,508,2238,11.7,73.5
2025-04-02 15:00:00,965,21.8,1822,99,90.6,878,87.7,4.8,9.9,984,1036,1305,510,2242,11.7,73.8
2025-04-02 16:00:00,968,21.9,1817,99,90.6,879,87.7,4.8,9.8,986,1032,1310,512,2249,11.6,73.6
2025-04-02 17:00:00,969,21.8,1818,99,90.7,878,87.7,4.8,9.8,984,1032,1310,514,2251,11.6,73.5
2025-04-02 18:00:00,968,21.8,1811,98,90.7,878,87.6,4.8,9.8,985,1030,1310,513,2242,11.6,73.5
2025-04-02 19:00:00,967,21.9,1814,98,90.8,879,87.7,4.9,9.8,980,1034,1308,512,2245,11.7,73.9
2025-04-02 20:00:00,961,21.9,1818,98,91,880,87.7,4.8,9.8,976,1027,1304,511,2242,11.7,73.7
2025-04-02 21:00:00,958,22,1819,97,91,880,87.7,4.8,9.7,978,1026,1303,510,2239,11.6,73.3
2025-04-02 22:00:00,956,22,1814,97,90.9,881,87.7,4.8,9.7,976,1026,1306,509,2241,11.6,73.4
2025-04-02 23:00:00,961,22,1820,97,90.9,881,87.7,4.8,9.7,975,1024,1309,508,2246,11.5,73.3
2025-04-03 00:00:00,962,21.9,1828,97,91.1,882,87.6,4.8,9.7,980,1020,1308,511,2238,11.6,73.2
2025-04-03 01:00:00,955,21.9,1829,97,91.3,882,87.7,4.8,9.6,981,1025,1309,510,2238,11.7,73
2025-04-03 02:00:00,956,21.8,1831,97,91.3,881,87.6,4.8,9.6,983,1033,1307,510,2248,11.8,73
2025-04-03 03:00:00,955,21.8,1832,97,91.3,881,87.6,4.8,9.5,981,1026,1307,509,2243,11.7,72.8
2025-04-03 04:00:00,952,21.7,1834,97,91.3,881,87.6,4.8,9.5,977,1023,1306,509,2242,11.7,72.8
2025-04-03 05:00:00,954,21.7,1833,97,91.3,881,87.6,4.8,9.5,977,1018,1306,511,2239,11.7,72.8
2025-04-03 06:00:00,959,21.8,1833,97,91.2,880,87.6,4.8,9.4,972,1017,1306,512,2242,11.7,72.9
2025-04-03 07:00:00,962,21.8,1837,97,91.2,880,87.5,4.8,9.4,970,1022,1305,514,2236,11.7,72.9
2025-04-03 08:00:00,959,21.7,1846,96,91.3,879,87.6,4.8,9.4,971,1024,1307,512,2228,11.7,72.5
2025-04-03 09:00:00,958,21.8,1840,96,91.2,880,87.5,4.9,9.4,971,1024,1311,510,2232,11.7,72.9
2025-04-03 10:00:00,959,21.8,1840,96,91.2,880,87.4,4.9,9.4,972,1024,1311,510,2234,11.7,72.9
2025-04-03 11:00:00,963,21.8,1835,96,91.4,880,87.4,4.8,9.3,973,1023,1313,513,2228,11.7,72.4
2025-04-03 12:00:00,961,21.8,1842,96,91.3,879,87.3,4.8,9.3,970,1026,1311,513,2227,11.7,72.4
2025-04-03 13:00:00,960,21.8,1839,96,91.5,879,87.4,4.8,9.4,967,1029,1311,510,2221,11.7,72.5
2025-04-03 14:00:00,956,21.8,1834,96,91.4,880,87.3,4.9,9.3,960,1031,1308,513,2225,11.8,72.8
2025-04-03 15:00:00,951,21.8,1836,97,91.5,880,87.4,4.9,9.4,959,1023,1308,513,2227,11.8,73.1
2025-04-03 16:00:00,954,21.7,1843,97,91.4,879,87.5,4.9,9.4,962,1023,1309,515,2223,11.9,73.1
2025-04-03 17:00:00,960,21.7,1846,98,91.4,879,87.5,4.9,9.3,966,1022,1311,518,2220,12,73.1
2025-04-03 18:00:00,959,21.7,1847,98,91.3,879,87.6,4.9,9.3,967,1026,1310,516,2218,12.1,72.9
2025-04-03 19:00:00,963,21.6,1848,98,91.4,879,87.6,4.9,9.3,971,1027,1311,519,2213,12.1,72.7
2025-04-03 20:00:00,965,21.6,1854,98,91.5,879,87.6,4.9,9.4,972,1029,1313,519,2219,12.2,72.7
2025-04-03 21:00:00,962,21.6,1850,98,91.5,878,87.6,4.9,9.4,972,1027,1315,518,2225,12.3,72.6
2025-04-03 22:00:00,964,21.7,1850,98,91.4,879,87.6,4.9,9.4,970,1031,1316,518,2223,12.2,72.8
2025-04-03 23:00:00,970,21.7,1848,98,91.4,879,87.5,4.9,9.5,963,1036,1315,516,2222,12.2,73.1
2025-04-04 00:00:00,970,21.7,1843,98,91.4,879,87.5,4.9,9.4,967,1029,1313,516,2216,12.1,73.2
2025-04-04 01:00:00,976,21.7,1842,98,91.4,878,87.5,4.9,9.4,967,1024,1312,515,2215,12.2,73.2
2025-04-04 02:00:00,966,21.8,1847,99,91.6,879,87.5,4.9,9.4,971,1027,1311,514,2218,12.2,73.2
2025-04-04 03:00:00,969,21.7,1849,100,91.4,878,87.5,4.9,9.4,968,1026,1310,512,2224,12.2,73.5
2025-04-04 04:00:00,969,21.6,1851,100,91.2,879,87.5,4.8,9.4,975,1031,1311,515,2219,12.2,72.9
2025-04-04 05:00:00,968,21.6,1852,100,91.2,878,87.5,4.9,9.3,975,1032,1312,514,2211,12.3,72.8
2025-04-04 06:00:00,968,21.6,1854,100,91.2,879,87.5,4.9,9.3,972,1034,1312,512,2206,12.3,72.9
2025-04-04 07:00:00,960,21.7,1851,101,91.1,880,87.4,4.9,9.4,972,1031,1308,513,2208,12.3,72.9
2025-04-04 08:00:00,959,21.7,1850,101,91,879,87.4,4.9,9.4,972,1033,1308,515,2208,12.3,72.8
2025-04-04 09:00:00,961,21.8,1850,100,91.1,878,87.4,4.9,9.4,972,1034,1307,515,2213,12.2,73.2
2025-04-04 10:00:00,967,21.7,1852,101,91.2,879,87.4,4.9,9.4,971,1031,1312,512,2213,12.2,73.1
2025-04-04 11:00:00,965,21.7,1853,101,91.2,878,87.4,4.9,9.4,965,1035,1309,507,2221,12.3,73.2
2025-04-04 12:00:00,962,21.7,1852,100,91.3,878,87.4,4.9,9.5,963,1028,1309,505,2214,12.3,73.6
2025-04-04 13:00:00,960,21.8,1851,101,91.2,878,87.4,4.9,9.5,966,1029,1310,507,2201,12.4,73.2
2025-04-04 14:00:00,963,21.8,1863,101,91.2,878,87.4,4.9,9.5,963,1023,1308,509,2208,12.4,73.3
2025-04-04 15:00:00,964,21.8,1867,101,91.3,878,87.5,4.9,9.6,958,1019,1312,508,2204,12.4,73.5
2025-04-04 16:00:00,962,21.8,1869,101,91.1,878,87.5,4.9,9.6,955,1023,1315,507,2205,12.5,73.3
2025-04-04 17:00:00,964,21.8,1868,101,90.9,877,87.5,4.9,9.6,955,1019,1314,509,2205,12.6,73.3
2025-04-04 18:00:00,965,21.8,1866,101,90.9,877,87.6,4.9,9.7,952,1014,1312,508,2207,12.6,73.6
2025-04-04 19:00:00,969,21.8,1865,102,91,878,87.6,4.9,9.7,952,1017,1317,510,2204,12.6,73.4
2025-04-04 20:00:00,966,21.7,1867,102,91,879,87.7,4.9,9.6,949,1012,1320,510,2200,12.6,73.1
