Time,Limestone_CaO_Content_Percent,SiO2_Content_Percent,Al2O3_Content_Percent,Fe2O3_Content_Percent,MgO_Content_Percent,Feed_Size_mm,Product_Size_Primary_mm,Product_Size_Secondary_mm,Moisture_Content_Percent,Clay_SiO2_Content_Percent,Hardness_Index
00:00:00,52.4,15.15,4.39,3.2,1.9,995.0,191.0,22.2,6.03,56.5,13.1
00:00:05,51.89,15.34,4.3,3.2,2.15,939.0,177.0,22.0,6.61,56.1,12.3
00:00:10,52.52,15.35,4.06,3.01,2.23,992.0,180.0,21.8,5.99,55.0,12.0
00:00:15,53.22,14.15,3.69,3.04,1.69,975.0,179.0,21.8,6.66,53.0,12.6
00:00:20,51.81,15.49,3.95,2.71,1.79,1053.0,165.0,21.9,6.62,53.7,12.7
00:00:25,51.81,15.18,4.83,2.89,1.88,1022.0,167.0,21.9,6.64,56.0,11.6
00:00:30,53.26,14.62,4.5,2.88,2.32,880.0,171.0,23.2,6.65,56.9,12.1
00:00:35,52.61,14.55,4.75,2.91,1.93,1002.0,173.0,22.0,7.01,54.1,12.2
00:00:40,51.62,14.8,4.33,3.17,2.23,955.0,183.0,21.2,6.6,56.9,11.2
00:00:45,52.43,14.22,4.47,3.26,2.03,942.0,169.0,23.5,6.56,53.4,12.7
00:00:50,51.63,16.03,4.98,3.12,1.78,908.0,155.0,22.0,6.57,55.5,13.1
00:00:55,51.63,15.89,4.97,2.94,2.13,1035.0,168.0,21.9,6.2,56.4,11.6
00:01:00,52.19,15.27,4.78,2.85,2.05,1041.0,171.0,21.3,6.68,59.2,12.0
00:01:05,50.47,14.87,4.56,3.02,1.87,940.0,186.0,21.4,6.34,56.6,12.0
00:01:10,50.62,14.88,4.66,3.06,1.9,1045.0,168.0,23.3,7.03,53.7,13.1
00:01:15,51.55,15.45,4.61,2.96,1.84,1084.0,148.0,21.3,6.33,54.9,12.3
00:01:20,51.19,16.05,4.45,2.87,1.91,992.0,167.0,21.4,6.31,52.8,12.0
00:01:25,52.25,14.66,4.38,3.12,2.1,964.0,175.0,22.5,6.61,57.0,12.9
00:01:30,51.27,14.33,4.84,3.14,1.86,997.0,156.0,20.8,6.23,54.9,13.0
00:01:35,50.87,15.93,4.11,2.74,2.01,1047.0,180.0,22.8,6.36,54.2,12.4
00:01:40,53.17,13.93,4.95,2.92,2.05,1053.0,179.0,22.5,6.68,53.8,12.9
00:01:45,51.82,14.39,4.42,3.16,1.99,999.0,175.0,21.9,6.76,53.3,12.2
00:01:50,52.05,14.85,4.11,3.2,1.76,963.0,179.0,22.3,6.63,53.7,11.1
00:01:55,50.86,14.06,4.34,3.01,2.11,1010.0,171.0,23.3,6.28,58.2,12.8
00:02:00,51.56,15.67,4.24,3.07,1.83,996.0,170.0,22.6,6.77,54.9,12.0
00:02:05,52.09,15.51,4.33,3.05,1.91,1005.0,170.0,22.7,5.98,58.7,11.3
00:02:10,51.08,14.66,4.32,3.19,1.93,985.0,172.0,22.4,6.19,53.9,11.2
00:02:15,52.3,15.77,4.31,2.78,2.0,1008.0,191.0,21.8,6.61,57.5,11.8
00:02:20,51.52,15.87,4.41,3.05,2.01,925.0,169.0,21.9,6.32,53.3,11.9
00:02:25,51.77,14.93,4.48,2.82,2.1,1014.0,181.0,22.2,6.46,57.6,12.3
00:02:30,51.52,14.73,4.73,3.22,1.95,1045.0,167.0,22.5,6.72,57.0,12.1
00:02:35,53.48,16.36,4.43,2.79,1.82,992.0,175.0,21.7,6.39,54.9,12.6
00:02:40,51.99,15.43,4.6,3.08,2.16,1005.0,174.0,22.4,6.39,52.1,12.7
00:02:45,51.15,15.15,4.5,2.82,1.94,936.0,148.0,21.8,6.19,56.4,12.8
00:02:50,52.66,15.82,4.66,3.15,1.97,1021.0,176.0,22.2,6.61,55.3,12.0
00:02:55,51.02,15.18,4.51,3.09,1.85,1037.0,169.0,22.1,6.69,53.3,11.3
00:03:00,52.17,14.7,4.31,3.05,1.87,1066.0,161.0,22.3,6.93,57.5,11.6
