Time,Limestone_Proportion_Percent,Clay_Proportion_Percent,Iron_Ore_Proportion_Percent,LSF,SM_Silica_Modulus,AM_Alumina_Modulus,Raw_Mill_Feed_Rate_tph,Mill_Power_Consumption_kW,Raw_Meal_Fineness_Percent_R90um,Mill_Inlet_Temperature_C,Blending_Efficiency_Percent,Standard_Deviation_LSF_Percent
00:00:00,77.9,15.5,3.13,95.06,2.463,1.52,143.9,1833.0,11.5,105.4,87.7,0.93
00:00:05,79.6,15.4,3.59,95.59,2.458,1.606,112.9,1791.0,11.6,96.7,90.0,1.08
00:00:10,77.8,17.8,3.74,96.17,2.475,1.561,124.0,1785.0,12.1,93.6,88.7,0.83
00:00:15,79.6,16.2,3.34,95.63,2.541,1.591,131.4,1863.0,11.9,102.3,89.9,0.95
00:00:20,79.6,15.8,4.28,94.63,2.457,1.509,122.3,1814.0,11.9,95.3,89.9,1.1
00:00:25,76.9,16.0,3.32,95.18,2.514,1.603,123.1,1712.0,12.0,103.7,89.3,1.19
00:00:30,81.3,16.9,3.72,94.37,2.495,1.668,124.8,1831.0,10.8,94.3,89.5,0.98
00:00:35,81.6,16.0,3.29,95.5,2.518,1.516,125.3,1816.0,11.4,102.2,91.3,1.01
00:00:40,82.1,17.8,3.44,95.24,2.48,1.595,131.2,1807.0,12.5,101.7,89.4,0.91
00:00:45,79.4,16.3,3.68,94.84,2.433,1.538,128.2,1796.0,10.9,98.3,89.8,0.9
00:00:50,79.7,16.5,3.18,94.44,2.469,1.656,127.4,1750.0,12.8,104.6,89.6,0.84
00:00:55,81.2,16.2,3.58,94.96,2.548,1.547,122.3,1823.0,11.9,98.1,89.9,1.12
00:01:00,81.2,15.6,3.02,94.27,2.482,1.565,115.6,1766.0,12.2,103.2,88.9,1.11
00:01:05,79.5,16.6,3.75,94.15,2.465,1.688,121.0,1798.0,12.0,93.6,90.0,0.83
00:01:10,81.5,15.4,3.6,96.09,2.575,1.589,132.5,1765.0,11.2,104.9,88.8,0.95
00:01:15,81.5,17.1,2.59,95.37,2.472,1.558,109.3,1860.0,12.1,99.6,88.6,1.11
00:01:20,81.2,15.5,3.04,95.7,2.538,1.661,125.9,1755.0,12.8,104.5,90.0,1.06
