Time,C1_Temperature_C,C2_Temperature_C,C3_Temperature_C,C4_Temperature_C,C5_Temperature_C,Gas_Velocity_ms,Pressure_Drop_mbar,Heat_Recovery_Efficiency_Percent,Calciner_Temperature_C,Calcination_Degree_Percent,Fuel_Flow_Rate_tph,Tertiary_Air_Temperature_C,O2_Content_Percent,CO_Content_ppm
00:00:00,319.8,468.2,622.5,776.4,864.1,20.2,344.4,86.7,893.9,93.1,5.4,1013.3,2.95,297.0
00:00:05,320.0,466.9,625.7,770.2,875.6,20.2,343.1,86.6,913.6,91.9,4.8,1046.0,2.69,238.0
00:00:10,327.6,484.5,629.8,775.5,878.8,20.4,331.2,87.3,909.7,93.0,4.95,989.1,2.98,233.0
00:00:15,317.0,476.7,617.6,775.7,879.0,20.0,342.1,87.6,878.0,93.1,4.94,1006.1,3.19,231.0
00:00:20,322.9,479.0,625.5,785.1,873.5,19.6,333.3,87.4,897.0,92.1,5.04,972.3,2.75,297.0
00:00:25,320.7,478.8,621.8,773.6,869.8,20.0,347.8,87.9,898.8,92.3,5.06,995.8,3.41,160.0
00:00:30,322.8,469.9,622.5,776.2,875.8,20.4,337.8,88.0,905.7,92.6,4.74,980.5,3.23,237.0
00:00:35,331.3,474.8,627.2,775.8,869.6,19.4,345.6,87.3,905.5,92.8,5.11,989.6,3.38,293.0
00:00:40,322.0,476.8,632.1,788.9,859.9,20.0,342.5,86.8,896.0,91.6,5.5,989.8,2.94,242.0
00:00:45,319.3,480.5,620.4,763.5,867.1,19.8,344.4,87.1,883.9,92.2,5.21,996.2,3.3,289.0
00:00:50,328.7,474.9,620.2,772.2,879.7,20.5,342.8,87.4,906.9,93.1,5.11,966.0,3.02,185.0
00:00:55,323.5,473.3,632.8,770.9,875.5,20.2,352.8,87.3,893.3,92.3,5.29,984.8,2.85,253.0
00:01:00,321.5,458.6,630.3,773.9,885.2,19.6,341.6,87.1,907.0,92.0,5.0,1005.3,3.21,255.0
00:01:05,316.2,472.5,624.3,772.7,880.4,20.4,334.8,87.7,906.3,93.4,5.03,967.8,2.64,190.0
