Time,Burning_Zone_Temperature_C,Material_Temperature_C,Flame_Temperature_C,Kiln_Rotation_Speed_RPM,Primary_Fuel_Flow_tph,Primary_Air_Flow_Nm3h,Secondary_Air_Temperature_C,Shell_Temperature_Zone1_C,Shell_Temperature_Zone2_C,Shell_Temperature_Zone3_C,Kiln_Filling_Degree_Percent,Kiln_Drive_Power_kW,Kiln_Exit_O2_Percent,NOx_Emissions_mg_Nm3,Free_Lime_Content_Percent
00:00:00,1449.4,1399.4,1913.7,3,9.82,17646,905,278.3,319.5,373.2,14.6,1008,2.21,544,1.45
00:00:05,1453.9,1403.9,1886.4,2.82,9.75,16752,961.5,280.1,322.4,370.9,18,1046,1.98,528,1.5
00:00:10,1453.9,1403.9,1881,3.28,9.79,17305,942.2,273.4,323.3,382.4,15.6,959,2.25,632,1.24
00:00:15,1451.2,1401.2,1873.1,2.79,10.09,17768,904.8,275.8,317.6,381.2,14.5,941,2.43,606,1.15
00:00:20,1450.6,1400.6,1903,3.12,9.86,17607,958.5,281.7,328.9,381.7,15.8,1004,2.4,570,1.22
00:00:25,1453.6,1403.6,1884.7,2.95,10.06,17812,913.9,266.5,317.6,373.4,16.2,1075,2.38,613,1.4
00:00:30,1446,1396,1941.4,2.92,10.69,17983,948.9,273.7,327.9,378.8,14.7,957,2.24,573,1.25
00:00:35,1448.2,1398.2,1918.2,2.89,9.61,17456,931.2,263.3,329.9,374.1,15.5,1059,2.48,700,1.33
00:00:40,1449.7,1399.7,1912.1,2.75,10.48,17735,945,270.8,328.4,373.4,15,973,2.26,644,1.39
00:00:45,1449.6,1399.6,1913.4,3.02,10,17941,998.1,270.4,319.7,377.3,13.8,990,2.31,621,1.23
00:00:50,1446.5,1396.5,1899.6,3.05,10.39,17324,915.5,275,330.6,378,14.7,1016,2.45,575,1.07
00:00:55,1447.7,1397.6,1907,3.04,10.1,18118,1009.6,268.1,319,373.5,13.5,1000,2.24,557,1.15
00:01:00,1448.3,1398.3,1876.8,3.13,9.66,18549,900.2,280.3,334.4,371.9,15.7,983,2.2,565,1.26
00:01:05,1454.1,1404.1,1914.8,2.91,10.32,17830,945.6,271.6,329,372.2,14.6,1045,2.14,621,1.13
00:01:10,1446.1,1396.1,1888.9,2.94,9.88,17051,964.5,275.3,333.1,370.4,14.8,980,2.27,664,1.27
00:01:15,1451,1401,1897,2.92,10.25,18614,933.5,272.6,323.2,381.2,15.6,1043,2.27,608,1.29
00:01:20,1447.9,1397.8,1924.5,3.05,9.96,16688,930.5,272,328.5,377.2,15.2,1023,2.28,559,1.1
00:01:25,1448.5,1398.5,1841.4,2.87,9.78,17407,993.3,273.5,319.1,379,15.1,1054,2.36,570,0.87
00:01:30,1448.8,1398.8,1920.7,2.91,10.55,17393,964.9,270.2,319.3,377,14.1,1016,2.01,607,0.97
00:01:35,1444.5,1394.5,1886.1,3.11,9.4,16735,938.4,265.9,326.9,377.6,13.3,1016,2.51,619,1.33
00:01:40,1449,1399,1899.3,3.11,10.29,17153,892.5,279.5,321.8,376.3,15.2,1015,2.51,558,1.39
00:01:45,1451.5,1401.5,1905.2,2.94,10.24,17292,1002,278.9,316.5,374.6,15.1,1021,2.13,618,1.19
00:01:50,1451.8,1401.8,1913.1,3.07,9.48,18036,963.1,279.1,332.4,380.8,15.5,1000,2.09,539,1.39
00:01:55,1457.9,1407.9,1917.6,2.72,10.61,17588,935.8,271.1,326.9,366.6,14.8,1027,2.25,588,1.19
00:02:00,1452.9,1402.8,1879.9,3.06,10.61,17629,949.8,268.7,325.6,368.7,15.5,1032,2.55,629,1.28
00:02:05,1452,1402,1895,2.95,10.11,18118,961.6,266.6,321,386.1,15.5,972,2.28,530,1.11
00:02:10,1455.4,1405.4,1920.7,2.98,10.08,16955,948.9,270.4,324.6,377.7,13.8,1013,2.16,551,1.44
00:02:15,1447.1,1397.1,1915.5,3.07,9.85,16523,909.6,271.7,323.7,371.4,14.5,1012,2.29,590,0.85
00:02:20,1446.8,1396.8,1875,3.1,10.28,17099,999.5,272,323.2,384.6,12.2,948,2.28,591,1.56
00:02:25,1449.3,1399.3,1917.2,2.98,10.12,17450,955.9,270,317.3,376.4,15.3,1016,2.37,521,1.37
00:02:30,1444.8,1394.8,1926.3,2.98,9.78,17181,936.2,263.4,326,374.7,16.4,961,2.38,689,1.49
00:02:35,1448.2,1398.2,1897.4,3.01,9.67,17149,957.7,278.9,325.2,370.3,16.8,990,2.31,601,1.27
00:02:40,1450.9,1400.9,1888,2.82,10.1,16864,913.7,271.7,323.2,373.5,14.3,973,2.06,568,1.54
00:02:45,1450,1399.9,1916,2.79,10.44,17877,958.4,277.5,337,379.6,12.1,986,2.08,585,1.2
00:02:50,1451.9,1401.9,1930.2,3.01,10.18,17567,942.8,270.9,324.6,368.8,14.5,906,2.3,591,1.09
00:02:55,1454.4,1404.4,1895.3,3.03,10.31,17513,930.2,269.2,337.2,378.6,16,958,2.4,581,1.18
00:03:00,1450.8,1400.8,1925.9,3.19,10.57,16772,934.5,277.3,330,365.8,16.5,971,2.37,611,1.01
00:03:05,1448.4,1398.4,1908.7,3.14,9.53,17907,925.8,276,324.9,380.2,14.1,987,2.26,623,1.11
00:03:10,1449.9,1399.9,1888.5,3.03,9.58,18407,939.8,267.2,320.8,382.2,14.6,1005,2.27,624,1.22
00:03:15,1452.8,1402.8,1920.8,2.98,9.59,17840,941.6,285.4,319.5,377.7,15.4,1026,2.2,604,1.35
00:03:20,1453.6,1403.5,1871.3,3.01,10.14,17882,926.1,275.6,334.1,376.9,14.8,1089,2.29,567,1.35
00:03:25,1450.4,1400.4,1870.9,2.98,9.87,16879,939.2,274.5,324,370.6,16.2,1001,2.15,575,0.98
00:03:30,1450,1400,1889.5,3.18,10.39,16780,926,275.2,326.7,377.2,15.5,1056,2.2,622,1.4
00:03:35,1453.8,1403.7,1908.5,2.96,10.09,17699,982.8,279.3,320.3,365.6,16.5,977,2.03,634,1.25
00:03:40,1449.2,1399.2,1926.6,3.11,10.72,18673,981.8,273.4,325.1,371.9,14.2,1023,2.12,528,1.12
