Time,Clinker_Inlet_Temperature_C,Clinker_Outlet_Temperature_C,Cooling_Air_Flow_Nm3min,Secondary_Air_Temperature_C,Grate_Speed_strokes_min,Under_Grate_Pressure_mbar,Clinker_Production_Rate_tph,Clinker_Feed_Rate_tph,Gypsum_Addition_Percent,Cement_Mill_Power_kW,Cement_Fineness_Blaine_m2kg,Cement_Fineness_45um_Percent_Retained,Separator_Efficiency_Percent
00:00:00,1309.3,83.5,525.1,903.9,12.3,19.9,119.6,139.7,4.13,2262.0,361.0,9.4,79.3
00:00:05,1312.1,86.6,482.0,894.7,12.1,19.6,129.5,128.0,4.21,2157.0,349.0,11.0,81.1
00:00:10,1282.8,93.8,517.2,883.8,12.4,19.7,117.7,122.7,3.95,2293.0,352.0,8.8,83.4
00:00:15,1291.5,93.9,486.6,952.9,12.1,18.4,127.4,133.7,3.62,2258.0,359.0,10.3,79.2
00:00:20,1327.6,82.7,492.7,907.0,11.0,18.8,120.4,135.1,4.14,2250.0,346.0,8.8,81.0
00:00:25,1272.8,92.1,517.1,891.0,13.2,19.4,124.9,136.0,4.06,2195.0,360.0,9.9,81.3
00:00:30,1295.3,88.7,490.2,910.7,12.4,20.0,129.0,139.1,4.22,2299.0,338.0,9.6,81.4
00:00:35,1282.9,82.7,482.3,881.3,12.9,20.3,114.0,142.6,4.28,2280.0,352.0,10.9,82.8
00:00:40,1283.2,93.3,487.9,892.0,12.4,19.7,116.5,131.4,3.99,2327.0,335.0,11.1,83.1
00:00:45,1284.7,79.7,513.2,916.3,12.1,19.7,132.9,127.8,4.07,2331.0,345.0,8.2,83.6
00:00:50,1300.8,100.6,509.2,901.6,11.4,21.6,116.8,137.5,4.04,2214.0,342.0,10.8,83.1
00:00:55,1300.6,101.2,522.8,875.0,12.2,19.1,117.7,127.8,4.18,2246.0,355.0,10.3,83.5
00:01:00,1316.7,84.9,516.2,867.8,11.7,19.3,127.1,143.6,3.63,2282.0,342.0,9.1,81.3
00:01:05,1302.8,87.2,454.9,907.8,12.6,18.0,124.2,127.5,3.79,2253.0,329.0,11.1,81.5
00:01:10,1249.1,102.0,499.1,864.9,11.7,19.8,132.6,129.4,4.16,2251.0,348.0,10.6,80.9
00:01:15,1310.1,83.4,509.0,922.1,11.9,20.4,131.6,131.1,3.8,2194.0,327.0,10.7,81.3
00:01:20,1325.5,98.5,494.5,896.5,11.3,20.6,133.7,135.6,4.28,2226.0,343.0,12.1,82.2
00:01:25,1303.1,89.1,489.3,898.2,12.4,19.9,123.2,133.4,3.86,2225.0,347.0,10.7,81.5
00:01:30,1309.5,90.6,529.2,863.7,12.7,21.8,117.5,136.1,4.36,2233.0,343.0,8.9,83.0
00:01:35,1269.8,92.4,516.9,907.6,12.8,21.1,118.5,127.6,4.06,2234.0,352.0,9.5,84.0
00:01:40,1299.1,85.9,479.9,884.3,10.9,19.6,118.6,138.5,3.84,2273.0,345.0,10.0,84.0
00:01:45,1283.6,86.9,507.0,897.0,11.9,20.1,118.7,127.8,4.2,2187.0,338.0,10.3,83.0
00:01:50,1311.0,83.2,483.4,881.6,12.3,18.9,134.1,138.1,4.34,2247.0,346.0,10.0,80.5
00:01:55,1287.8,88.7,517.9,900.0,12.5,19.6,118.3,132.4,4.06,2188.0,343.0,9.9,83.3
00:02:00,1299.9,93.7,465.0,858.1,11.9,19.2,118.2,135.2,3.88,2218.0,341.0,10.4,82.5
00:02:05,1303.8,76.7,507.3,860.8,12.5,20.0,122.7,132.5,4.05,2323.0,347.0,8.9,82.4
00:02:10,1331.5,94.9,476.5,887.4,10.8,20.4,128.6,138.0,3.75,2315.0,356.0,9.7,81.0
00:02:15,1311.1,90.9,526.1,890.6,12.2,19.7,122.6,136.2,3.89,2231.0,351.0,10.0,78.8
00:02:20,1304.1,85.8,473.0,894.7,12.0,19.2,130.9,131.0,3.72,2269.0,338.0,10.9,83.3
00:02:25,1293.2,84.6,503.5,895.9,11.6,19.8,126.9,135.9,3.67,2198.0,336.0,10.1,82.4
00:02:30,1301.9,103.6,492.3,881.6,12.5,18.5,136.1,136.4,4.12,2212.0,347.0,10.2,82.9
00:02:35,1294.0,95.1,499.5,862.1,11.0,19.2,130.6,125.7,4.12,2293.0,373.0,8.4,80.9
