Time,Cement_Temperature_C,Silo_Level_Percent,Compressive_Strength_3day_MPa,Compressive_Strength_28day_MPa,Setting_Time_Initial_min,Setting_Time_Final_min,Soundness_mm,Packing_Rate_bags_min,Bag_Weight_kg,Dust_Emission_mg_Nm3,Dispatch_Rate_tph
00:00:00,76.7,54.9,30.9,50.7,48.0,333.0,3.17,11.6,49.84,11.1,46.1
00:00:05,75.2,60.2,29.8,50.3,40.0,301.0,2.36,11.1,50.0,14.7,45.6
00:00:10,84.6,39.5,29.6,50.5,49.0,284.0,2.15,12.9,49.84,8.5,53.2
00:00:15,76.7,37.7,31.3,50.2,45.0,298.0,2.57,11.7,49.99,9.1,46.2
00:00:20,76.8,37.3,29.9,49.9,46.0,317.0,1.99,12.1,49.94,12.7,44.7
00:00:25,83.7,68.1,29.5,49.3,44.0,330.0,2.62,12.3,50.03,11.5,44.3
00:00:30,79.7,59.9,29.7,49.7,49.0,292.0,2.14,11.7,49.97,5.6,49.5
00:00:35,78.6,57.7,30.7,50.6,41.0,310.0,1.22,11.4,50.08,10.2,49.7
00:00:40,79.2,55.2,30.0,48.0,46.0,304.0,2.15,11.8,50.01,11.7,49.1
00:00:45,77.2,46.4,29.4,49.0,41.0,302.0,2.36,12.5,49.79,6.2,44.7
00:00:50,79.7,44.9,30.2,50.4,43.0,302.0,2.09,11.9,50.0,9.9,47.9
00:00:55,80.0,46.5,29.5,52.7,45.0,294.0,3.17,12.0,49.88,7.5,43.2
00:01:00,77.0,67.4,29.3,50.1,48.0,303.0,3.16,13.0,50.13,11.4,43.5
00:01:05,78.9,52.4,31.1,49.5,45.0,312.0,2.73,11.7,50.09,10.7,41.6
00:01:10,80.8,42.1,29.4,49.0,48.0,297.0,2.48,12.1,50.0,7.8,39.9
00:01:15,80.8,49.5,31.2,49.6,39.0,287.0,4.07,12.3,49.76,8.3,49.9
00:01:20,88.1,48.0,29.8,50.5,45.0,306.0,3.02,12.7,49.93,10.2,42.4
00:01:25,84.4,52.9,30.8,49.4,42.0,294.0,2.46,12.1,49.89,12.9,46.4
00:01:30,79.2,61.7,29.5,48.1,47.0,280.0,2.29,13.8,50.05,12.7,43.1
00:01:35,74.6,50.8,28.4,50.4,49.0,293.0,2.45,12.3,49.8,13.3,45.3
00:01:40,82.2,56.1,31.1,51.7,45.0,306.0,2.07,13.1,50.07,8.7,44.6
00:01:45,84.6,52.7,31.5,49.9,46.0,304.0,1.53,12.4,50.1,9.9,46.5
00:01:50,76.6,48.5,27.0,50.5,48.0,299.0,3.05,11.9,50.21,9.8,49.2
00:01:55,89.0,50.8,28.9,49.3,46.0,311.0,2.42,12.6,49.79,11.0,44.9
00:02:00,81.4,43.1,28.7,49.1,44.0,306.0,1.47,11.5,50.08,11.2,41.7
00:02:05,77.4,58.8,31.3,50.0,40.0,319.0,2.37,12.3,50.03,12.4,45.9
